run_id,record_tag,timestamp_utc,task_manager,global_planner,local_planner,packages_delivered,pph,simulation_seconds,real_runtime_seconds,agent_count,loading_port_count,unloading_port_count,map_width,map_height,resolution,steps_per_second,total_distance_travelled,avg_distance_travelled,max_distance_travelled,global_plan_calls,replan_events,total_contact_frames,total_collision_events,agent_agent_collision_events,agent_wall_collision_events,state_time_ratios,contact_frame_counts,collision_event_counts,max_queue_lengths
20260804T142721Z_5c5772b7,planner_matrix_baseline_60s_INashRRT_HRVOPlanner_NaiveTaskManager,2026-08-04T14:27:36.277804Z,NaiveTaskManager,INashRRT,HRVOPlanner,0,0.0,60.0,14.591,2,1,1,12,12,1,10,104.502,52.251,88.816,4,0,112,112,0,112,"{""CRUISE"": 0.2421, ""QUEUING"": 0.7579}","{""agent__wall"": 112}","{""agent__wall"": 112}","{""0"": 0}"
20260804T142649Z_8e2ad5c4,task_manager_medium_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager,2026-08-04T14:27:48.534892Z,NaiveTaskManager,LayeredAStarReservationAware,DullPlanner,7,420.0,60.0,59.449,4,2,2,20,20,1,20,314.811,78.703,81.011,277,242,6,6,6,0,"{""CRUISE"": 0.7483, ""LOADING"": 0.1309, ""QUEUING"": 0.1207}","{""agent__agent"": 6}","{""agent__agent"": 6}","{""0"": 0, ""1"": 0}"
20260804T142652Z_8555f776,stage_chain_medium_60s_LayeredAStarQueueAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:28:08.902042Z,NaiveTaskManager,LayeredAStarQueueAware,VirtualForcePlanner,0,0.0,60.0,76.11,4,2,2,20,20,1,20,39.184,9.796,20.775,3142,3134,0,0,0,0,"{""CRUISE"": 0.092, ""QUEUING"": 0.908}",{},{},"{""0"": 0, ""1"": 0}"
20260804T142744Z_d837700e,planner_matrix_baseline_60s_INashRRT_DDPlanner_NaiveTaskManager,2026-08-04T14:28:12.996671Z,NaiveTaskManager,INashRRT,DDPlanner,1,60.0,60.0,28.693,2,1,1,12,12,1,10,47.623,23.811,33.517,8,0,17,17,17,0,"{""CRUISE"": 0.1672, ""LOADING"": 0.0366, ""QUEUING"": 0.7962}","{""agent__agent"": 17}","{""agent__agent"": 17}","{""0"": 0}"
20260804T142645Z_fb107ffb,task_manager_high_60s_LayeredAStarReservationAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:28:33.152166Z,NaiveTaskManager,LayeredAStarReservationAware,VirtualForcePlanner,0,0.0,60.0,107.646,6,3,3,24,24,1,20,130.496,21.749,48.74,2138,2122,0,0,0,0,"{""CRUISE"": 0.2062, ""LOADING"": 0.0115, ""QUEUING"": 0.7823}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142754Z_90d96c62,task_manager_medium_60s_LayeredAStarReservationAware_DullPlanner_CongestionAwareTaskManager,2026-08-04T14:28:50.463912Z,CongestionAwareTaskManager,LayeredAStarReservationAware,DullPlanner,7,420.0,60.0,55.802,4,2,2,20,20,1,20,314.811,78.703,81.011,277,242,6,6,6,0,"{""CRUISE"": 0.7483, ""LOADING"": 0.1309, ""QUEUING"": 0.1207}","{""agent__agent"": 6}","{""agent__agent"": 6}","{""0"": 0, ""1"": 0}"
20260804T142612Z_b0d3ace5,stage_chain_high_60s_LayeredAStarReservationAware_DullPlanner_NaiveTaskManager,2026-08-04T14:28:51.038750Z,NaiveTaskManager,LayeredAStarReservationAware,DullPlanner,3,180.0,60.0,158.4,6,3,3,24,24,1,20,233.569,38.928,83.554,3959,3932,1068,1068,1068,0,"{""CRUISE"": 0.6299, ""LOADING"": 0.0479, ""QUEUING"": 0.3222}","{""agent__agent"": 1068}","{""agent__agent"": 1068}","{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142856Z_eff51c90,task_manager_medium_60s_LayeredAStarQueueAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:29:52.152965Z,NaiveTaskManager,LayeredAStarQueueAware,VirtualForcePlanner,0,0.0,60.0,55.964,4,2,2,20,20,1,20,39.184,9.796,20.775,3142,3134,0,0,0,0,"{""CRUISE"": 0.092, ""QUEUING"": 0.908}",{},{},"{""0"": 0, ""1"": 0}"
20260804T142839Z_c826a673,task_manager_high_60s_LayeredAStarReservationAware_VirtualForcePlanner_CongestionAwareTaskManager,2026-08-04T14:30:03.006020Z,CongestionAwareTaskManager,LayeredAStarReservationAware,VirtualForcePlanner,0,0.0,60.0,83.322,6,3,3,24,24,1,20,130.496,21.749,48.74,2138,2122,0,0,0,0,"{""CRUISE"": 0.2062, ""LOADING"": 0.0115, ""QUEUING"": 0.7823}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
20260804T142856Z_55cda627,stage_chain_high_60s_LayeredAStarReservationAware_VirtualForcePlanner_NaiveTaskManager,2026-08-04T14:30:19.096211Z,NaiveTaskManager,LayeredAStarReservationAware,VirtualForcePlanner,0,0.0,60.0,82.397,6,3,3,24,24,1,20,130.496,21.749,48.74,2138,2122,0,0,0,0,"{""CRUISE"": 0.2062, ""LOADING"": 0.0115, ""QUEUING"": 0.7823}",{},{},"{""0"": 0, ""1"": 0, ""2"": 0}"
